0, 0.05, 0, 12, 12, 0, 
0.05, 0.1, 12, 0, 0, 12, 
0.1, 0.15, 0, 12, 12, 0, 
0.15, 0.2, 12, 0, 0, 12, 
0.2, 0.25, 0, 12, 12, 0, 
0.25, 0.275, 12, 0, 0, 12, 
0.3, 0.3125, 0, 12, 12, 0, 
0.35, 0.3625, 12, 0, 0, 12, 
0.55, 0.553125, 12, 0, 0, 12, 
0.590145, 0.6, 12, 0, 0, 12, 
0.6, 0.625, 0, 0, 0, 0, 
0.65, 0.6625, 12, 12, 12, 12, 
0.75, 0.7625, 12, 0, 0, 12, 
0.8, 0.825, 0, 0, 0, 0, 
1, 1.0125, 12, 0, 0, 12, 
1.05, 1.0625, 0, 12, 12, 0, 
1.1, 1.1125, 12, 0, 0, 12, 
1.15, 1.175, 0, 0, 0, 0, 
1.2, 1.2125, 12, 12, 12, 12, 
1.5, 1.5125, 12, 0, 0, 12, 
1.72735, 1.73985, 0, 0, 0, 0, 
1.8, 1.80625, 0, 12, 12, 0, 
2.27415, 2.2804, 0, 0, 0, 0, 
2.3, 2.30312, 0, 12, 12, 0, 
2.35, 2.35312, 12, 1.69328, 0, 12, 
2.4, 2.40625, 0, 12, 12, 0, 
2.45, 2.45625, 12, 0, 0, 12, 
2.5, 2.50625, 0, 12, 12, 0, 
2.55, 2.55625, 0, 0, 0, 0, 
2.65, 2.65312, 0, 12, 12, 0, 
2.75, 2.75312, 0, 0, 0, 0, 
2.8, 2.80312, 0, 12, 12, 0, 
2.85, 2.85312, 12, 0, 0, 12, 
2.9, 2.90312, 0, 12, 12, 0, 
2.95, 2.95312, 0, 0, 0, 0, 
3, 3.00312, 0, 12, 12, 0, 
3.05, 3.05312, 12, 0, 0, 12, 
3.1, 3.10312, 0, 12, 12, 0, 
3.15, 3.15312, 0, 0, 4.32228, 0, 
3.2, 3.20312, 0, 12, 12, 0, 
3.25, 3.25312, 12, 0, 0, 0, 
3.3, 3.30312, 0, 9.56172, 12, 0, 
3.35, 3.35312, 0, 0, 12, 12, 
3.4, 3.40312, 12, 12, 0, 0, 
3.45, 3.45312, 0, 0, 12, 0, 
3.5, 3.50312, 0, 1.97686, 0, 0, 
3.6, 3.60312, 0, 12, 12, 0, 
3.65, 3.65312, 12, 0, 0, 12, 
3.7, 3.70312, 0, 12, 12, 0, 
3.75, 3.75312, 0, 0, 0, 0, 
3.95, 3.95312, 0, 12, 12, 0, 
4, 4.00312, 12, 0, 0, 0, 
4.2, 4.20312, 0, 12, 12, 0, 
4.55, 4.55312, 0, 0, 12, 12, 
4.6, 4.60312, 12, 0, 0, 0, 
5.1, 5.10312, 4.24436, 0, 0, 9.4573, 
5.3, 5.30312, 12, 2.6051, 0, 2.46459, 
5.35, 5.35312, 0, 0.0539405, 12, 7.42224, 
5.4, 5.40312, 12, 9.44797, 0, 0, 
5.45, 5.45312, 0, 0, 7.86338, 12, 
5.5, 5.50312, 12, 10.139, 0, 0, 
5.55, 5.55312, 0, 0, 6.73795, 12, 
5.6, 5.60312, 12, 12, 0, 0, 
5.65, 5.65312, 0, 0, 5.54985, 11.1292, 
5.85, 5.85312, 12, 0, 0, 10.893, 
5.9, 5.90312, 0, 12, 7.61138, 0, 
5.95, 5.95312, 6.40558, 0, 0, 12, 
6, 6.00312, 0, 12, 0, 0, 
6.05, 6.05312, 4.04804, 0, 0, 12, 
6.35, 6.35312, 12, 0, 0, 12, 
6.4, 6.40312, 0, 12, 12, 0, 
6.45, 6.45312, 10.9185, 0, 0, 12, 
6.8, 6.80312, 5.56171, 0, 0, 7.25027, 
7.55, 7.55312, 2.93696, 9.73924, 0, 0, 
8.42073, 8.42698, 0, 0.297643, 11.9975, 5.39145, 
8.45, 8.45625, 0, 4.08113, 12, 11.6109, 
8.5416, 8.54785, 11.3629, 11.9955, 0, 0, 
8.65, 8.65312, 9.51908, 11.408, 12, 12, 
8.7, 8.70625, 1.02965, 1.04056, 0, 0, 
8.7296, 8.73585, 0, 0, 11.9966, 11.4447, 
8.90815, 8.9144, 10.3257, 12, 0, 0, 
8.95, 8.95625, 12, 12, 8.99678, 5.65861, 
9.64102, 9.64727, 0, 0, 11.9852, 12, 
9.65, 9.65625, 4.61045, 6.33368, 0, 0, 
10.3016, 10.3078, 0, 0, 11.9989, 10.7473, 
10.4213, 10.4275, 12, 10.9364, 0, 0, 
10.9065, 10.9127, 1.23012, 1.10918, 0, 0, 
10.9127, 10.9158, 0, 0, 11.4563, 11.9938, 
10.95, 10.9563, 12, 12, 10.5879, 12, 
11, 11.0031, 0, 0, 0, 0, 
11.35, 11.3531, 6.33609, 3.97368, 0, 0, 
12, 12.0031, 12, 6.1256, 0, 2.90331, 
12.05, 12.0531, 0, 1.12348, 12, 6.99278, 
12.4585, 12.4647, 11.9944, 7.68793, 0, 0, 
12.5, 12.5063, 12, 12, 0.977885, 3.85779, 
12.55, 12.5563, 0, 0, 12, 10.4303, 
12.7, 12.7031, 12, 12, 9.37332, 9.12481, 
12.7459, 12.75, 11.996, 11.1709, 0, 0, 
12.75, 12.7563, 0.426246, 0.418022, 0, 0, 
12.8, 12.8031, 0, 0, 12, 12, 
12.85, 12.8531, 11.722, 11.7887, 0.781825, 0, 
13.1333, 13.1396, 0, 0, 11.9977, 11.9734, 
13.4419, 13.4481, 11.9981, 11.637, 0, 0, 
13.45, 13.4531, 0, 0, 3.49483, 2.44151, 
13.8559, 13.8621, 0, 0, 11.9999, 9.63868, 
14, 14.0031, 12, 12, 12, 11.3036, 
